"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@EnteredMuseum:0","For people with time travel you'd think they'd have more stuff.","我感觉...他作为一个时间旅行者,应该有更多宝物...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@LeftGreedyWizard:0","He wants that much money?! MRI doesn't even have that kind of cash.","他想要那么多钱?就连MRI也没有那么多经费.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@RandomSmallTalk1:0","So... how's <var>Cat</var> doing?","话说...<var>Cat</var>怎样了?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@RandomSmallTalk2:0","Are we there yet?","我们到了吗?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@RandomSmallTalk3:0","I wonder what the Archeologist is up to.","不知道考古学家现在在干什么.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@ReflectionPoolCutscene:0","Woah!","哇!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@UsedAnchor:0","What in the- watch where you're dropping that thing!","小心点!不要乱扔那个东西!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearCasinoExplosives:0","Explosives..?","爆炸物...?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearCasinoTable:0","Yeahhh I'm cool off dice for the time being.","哈哈...我最近变得不太喜欢骰子了...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearCastle:0","One day, I'll be the king of something like this.","总有一天,我会当上这样的国王.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearChadSr:0","Woah, who's this handsome devil.","哇,这个帅哥是谁~","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearGemFuelMachine:0","Woah woah woah, why are there so many colors here?","哇哇哇,为什么这里五颜六色的?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearGemReflectionPool:0","This is... mystical...","这很...神秘...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearLaser:0","Heh, I'm sure I can turn on the laser if we really need to.","呃,如果真的需要的话,也许我可以打开这门激光炮.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearPastMegaCrystal:0","That crystal... it's been here for a thousand years?!","那块水晶...它在这里保存了一千年?!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearPresentMegaCrystal:0","Didn't they dig this up recently? The Archeologist was going off about it.","他们不是最近才把它挖出来的吗?考古学家跟我说过,不过我忘了一大半了.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearRocket:0","I heard you plan on going to space... I guess that's pretty cool.","听说你要上太空了.太空...还是挺酷的.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkNearRocketFinal:0","This is it, huh? The point of no return.","你这次旅途的终点就是这里了?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WalkedInDinoMouth:0","Watch out!! Haha just kidding it's already dead.","小心!!哈哈,逗你玩~它已经死了.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WentThroughPortalPast:0","I'll never get used to that...","我不可能适应这个...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@WentThroughPortalPresent:0","I think I'm gonna barf.","我有点...反胃...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@0:0","Buzz off.","起开!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@1:0","You'll never catch me!","菜鸟,你是抓不住我的!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@2:0","Aha! This time you'll finally meet your match explorer!","啊哈!探险家,我们又见面了!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@2:1","I've nabbed this powerful portal device, and with it we'll have our fiercest competition yet!","我""得到""了这个强劲的[传送门装置].用它,我们可以...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@2:2","First, let me turn this on...","首先...让我将它...启动--","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:0","Aha! It worked! And now, with this portal on we're gonna...","啊哈!启动了!现在,用这个传送门,我们可以...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:1","We're gonna...","我们能...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:2","...","...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:3","I... I don't know...","我...我们...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:4","It doesn't even matter. You're gonna win anyways. You always do.","还有什么用呢,反正你又要赢了,每次都是你赢...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:5","Why do I even try? I'm just... not good enough.","我为什么还要尝试呢?我...我什么也做不成.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:6","Here, just take it.","这个你拿走吧.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@4:0","I need some time to myself.","我要...歇一会儿.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:0","I... I can't do anything right.","我...我什么都做不好...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:1","I'm a terrible research assistant.","我是个糟糕的研究助理.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:2","That explorer has helped you more than I have.","我不如那个探险家...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:3","What am I even here for? I just keep letting everyone down.","我还在这里干什么?我让所有人失望了...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:4","I give up...","我放弃了...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:5","What I could do, huh?","我又能做什么呢?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@6:0","What I could do, huh?","我又能做什么呢?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@7:0","Explorer! I have changed my ways.","探险家!我王大碴重出江湖啦!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@7:1","The great Chad will now be of service to you!","让我助你一臂之力!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@7:2","Lead the way, Explorer. We shall accomplish great things, together.","快带路,探险家--我们还有很多事要做!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@8:0","Ha! This foreman was no match for my irresistible charm.","哈!这个工头无法应对我的[社交手腕].","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@8:1","You got the goods right? Turning on the laser was a piece of cake.","你拿到[好东西]了?启动激光简直不费功夫.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@8:2","Lead the way, explorer. Our journey continues!","快带路,探险家--我们还没到终点!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@9:0","<var>MiscChadFollowPlayerChirp</var>","<var>MiscChadFollowPlayerChirp</var>","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@0:0","No, no... I've traversed the fabric of time on my own. A time portal, you say?","不,不...我是自己念咒语穿越的.你说有一个[时间传送门]?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@0:1","A permanent gateway through time, how positively fascinating! Maybe, I can help?","一个[永久]的,跨越时间的传送门?太神奇了.也许我能帮忙?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@0:2","Lochui-a-kee, benestratum, agra booly!","洛卡洛卡,贝那塔塔,阿嘎布拉!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@0:3","Thanks, I coul-","谢谢,我能--","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@1:0","Hmph, what a strange man.","额,多么奇怪的人.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@2:0","I'm bullish on our plan... these ""scientists"" are impressively capable!","我看好这个计划...这些[科学家]让人敬佩!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@3:0","Home, sweet home.","终于到家了,只可惜...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@4:0","Ignis! Galvic! Lend me your aid.","伊格尼斯,加尔维克,我需要你们的帮助!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@4:1","Friends, I've come from the future. Rally everyone; we must depart at once!","朋友们,我是从[未来]来的.把所有人集结起来,我们必须马上出发!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@5:0","Melanie, my dear... you're going to have to leave your castle...","梅拉尼,亲爱的...你需要离开你的城堡...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@5:1","I know you've made a lifetime's worth of memories here; this is the best result I could come up with.","我知道你一辈子都在这里,但是我们没有其他办法了.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:0","My fellow wizarding compatriots... I bring great and terrible news!","我的巫师同伴们...我有好消息和坏消息!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:1","The impending disaster, one sure to spell an end for humanity,","世界末日要来了,它会摧毁整个文明!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:10","Your memories...","你们宝贵记忆中的一切...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:11","They'll be annihilated in the coming week.","都会在一周之后被完全摧毁.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:12","I'm truly sorry... I've explored every possibility and this was the only solution.","我很抱歉...我探索了每一种可能性,但这是我们唯一的出路!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:13","I hope you'll accept this outcome.","我希望你们能接受.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:2","The ancient meteor, heading straight to this location!","一颗古老的陨石正朝着我们飞来!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:3","Through trials and tough times, I've found the way to save everyone!","不过,通过我不断的试验,我终于知道了可以救下所有人的办法!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:4","The ""scientists"" and I have managed to PERFECT the art of time travel.","一些未来的""科学家""会发明出完美的时间旅行方法.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:5","<wavy>We shall seek shelter in the future!</wavy>","<wavy>我们需要前往未来避难!</wavy>","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:6","Having worked with them personally, believe me when I say they are compassionate beyond belief.","我很荣幸能与他们共事,这些未来的人们非常友善.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:7","It will be difficult, but I believe we can educate one another, and become one people!","我相信我们能与他们和谐共处!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:8","But... regrettably...","但是...可惜的是...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Fezziwig@6:9","Your homes...","我们的家园...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@0:0","Wait, you're from the past! Did you slip in while the portal was opened?","等等,你是从未来来的!难道你是趁传送门打开的时候钻进来的?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@0:1","On your own?? How- uh, did you travel through time on your own?","就你一个人??额--你是怎么一个人时间旅行的?","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@0:2","We developed this gun to shoot portals, but we're struggling to keep them stable.","我们开发了这个可以发射传送门的枪,但是它太不稳定了.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@0:3","Holy crap, you're amazing!","我的天,你太强了!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@0:4","Hey! Where are you going with that!","嘿!你要用它去哪里!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@0:5","Oh man, I knew I should've kept a closer eye on that gun.","哦,我早知道应该看好那把枪的...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@1:0","You should be careful near that portal. We can't be sure it's stable!","你应该小心一点,我们没法确定它是不是稳定的!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@2:0","All this past and present is so confusing.","这些[过去]和[未来]的事情太复杂了--","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@2:1","Changing the past affects the future, but changing the future doesn't affect the past.","改变过去的[因]会改变未来的[果],但是改变未来不会反过来改变过去.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@3:0","All of your friends are here!","你的朋友们都在这里!","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@0:0","Destroy the rocks? Rig up explosives and use the laser!","不喜欢这块挡路的石头?安上炸药然后用激光轰它!","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@0:1","Watch 'em go kaBOOM!","只要炸药足够,它们会被炸精光!","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@1:0","Oh... Erm...","哦...额...","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@2:0","There're some real funny fellas 'round here, huh.","这里全是些古怪的家伙.","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@2:1","Think any of 'em know explosion magic?","你觉得他们会[爆炸魔法]么?","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@0:1"," ...","...","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@1:0","Oh, you're wondering why it didn't explode?","哦,你不清楚为什么没有爆炸?","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@1:1","I've been preparing this just for you.","哈哈,我为你准备好了.","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@1:2","Check it!","看!","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@2:0","That was cool!! Right?!","太酷了,对吧?!","",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@2:1","Right..?","对...对吧?","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Foreman@0:0","What the hell's the mattah with ya!","嘿,你到底什么毛病!","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Foreman@0:1","You can't just leave this lasah on! You know how much powah that thing uses?","工厂那边刚才一直在断电,原来是你小子把激光一直开着!","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Foreman@0:2","We're fighting faw scraps of electricity down at the factory!","赶快把它关掉!","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Foreman@0:3","And do you know how dangerous that is? someone could lose an ahm!","况且,这一点也不安全--万一打掉谁的胳膊,你该怎么解释!","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Foreman@0:4","Don't tuhn this lasah back on, okay?","就让它一直关着,行不?","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Foreman@1:0","Hey you theyah, weeuh you the one who tuhned this on?","嘿,那边的,是你把激光打开的?","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Foreman@1:1","Wehll don't do that!!","别乱动它!!","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Foreman@2:0","Huh I gyuess uh, we can leave the lasah on for a bit.","额,如果只开[一下下]...好吧.","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Foreman@3:0","My rawket's ready? Hawp in, you desahve it!","大火箭准备完毕了?快上去吧,大功臣!","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@0:0","Our super-laser packs quite a punch! We're running some tests on its power.","我们的[超级激光炮]威力巨大!我们正在测量它的具体运行功率.","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@0:1","Can you get me some oil so I can verify its impact?","不过,如果你拿[一桶油]过来,我可以让你真正[看见]它的威力.","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@1:0","Wow! Lasers are so cool!!","哇!激光太酷啦!!","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@2:0","Haha, I'm sure that's not a problem.","哈哈,我觉得没有问题.","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@3:0","Sorry sir...","抱歉...","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@3:1","Yes, sir.","好的.","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@4:0","Sorry man... we gotta leave the laser off.","额,工头在这里,我们不能拿激光炮乱来了.","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@4:1","It would take an incredibly charming man to convince him otherwise.","要说服我们的工头,你可能需要找到一个[极具魅力]的人.","",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@5:0","My love for lasers will overcome all my problems in life!","我对激光的热情一定可以解决生活中的一切问题!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/NPC Bomb Sign@0:0","This time I'm going all out!","这次我会不遗余力!!!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/NPC Bomb Sign@1:0","Ready?","准备好了吗?!!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/NPC Bomb Sign@1:1","Boom.","嘣~","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/NPC Bomb Sign@2:0","What? You want more?","什么?你觉得...不够?","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@0:0","This <wavy>idiot</wavy> insinuated I was too short to be a wizard!","这根<wavy>瘦竹竿</wavy>说我太[矮]!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@0:1","A DUEL will settle this finely.","这只能用[决斗]解决!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@0:2","Hand me that Shield Generator, and his spells will be null against me.","我需要使他的法术[无效],快递给我那边那个[法术护盾]!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@0:3","He'll stand no chance! Hahaha!","他没有任何胜算!哈哈哈!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@1:0","Drat... I'm back on his level.","完蛋...我们又势均力敌了.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@1:1","Get me back my Shield! I can regain the advantage then.","把[护盾]还给我!我需要我的优势!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@2:0","aHA! Who's too short now?","啊哈!看你还敢不敢叫我矮子!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@2:1","You stand no chance against this fireball!","他肯定接不住我的大火球之术!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@3:0","Now we're on even footing! And it seems we've reached an stalemate...","我们势均力敌了!看起来谁也没法解决掉谁...","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@3:1","What say we call it a truce.","要不然...休战?","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@3:2","Perhaps fire and lightning aren't so different after all.","也许火与电可以...和平相处.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@4:0","These kerfuffles are truly brash aren't they?","这种小打小闹并不适合我们.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@4:1","I propose we team up! Knowledge is the true sign of class. ","我们应该为更重要的事情齐心协力!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@5:0","These kerfuffles are truly brash aren't they?","这种小打小闹并不适合我们.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@5:1","Knowledge is the true sign of class. Let us team up!","我们应该为更重要的事情齐心协力!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@6:0","These kerfuffles are truly brash aren't they?","这种小打小闹并不适合我们.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@6:1","Knowledge is the true sign of class. Let us team up!","我们应该为更重要的事情齐心协力!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@7:0","Is it true, Fezziwig? It's possible?","你确定这可行么,法兹维?","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@8:0","Aha! This ""Museum"" will be a fine location to store my newly developed relics.","啊哈!这个叫""古董博物馆""的地方很适合存储我这几天新研发出来的物件.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Lightning Wizard Past@0:0","I just said what that girl at the bar said.","我只是转告而已,是酒吧里有个女孩那么说他的.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Lightning Wizard Past@1:0","Uh oh, lil bro is upset.","好吧,这位仁兄好像有点上头了.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Lightning Wizard Past@1:1","I'm not gonna win this fight if he has the Shield Generator.","他有那把盾,我是赢不了的.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Lightning Wizard Past@2:0","Woah, I'm toast without protection.","天啊,我完蛋了.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Lightning Wizard Past@2:1","Is it getting hot in here or is that just me?","气氛有些...""焦灼""...","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Lightning Wizard Past@3:0","Ha! You can't get me anymore!","哈!这下你没法打中我啦!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Lightning Wizard Past@3:1","Now perish before my lightning spell!","吃我[雷霆一击]!","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Lightning Wizard Past@4:0","Damn you! Now I'll never win this battle. Perhaps the time has come for a new approach.","怎么这样!现在谁也打不赢谁了.我们只能另寻出路了.","",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Lightning Wizard Past@4:1","A truce it is!","好吧,我们和解.","",
